id,x,y,w,h,role,rendering,notes
header,6,4,1479,64,component,asset/custom paint,
logo,19,16,320,42,static brand asset,asset/custom paint,
preset_prev,750,18,42,40,button,asset/custom paint,
preset_box,790,18,222,40,preset selector,asset/custom paint,
preset_next,1010,18,42,40,button,asset/custom paint,
header_utilities,1068,17,401,42,utility controls,asset/custom paint,
source_panel,10,75,243,894,container,asset/custom paint,
hero_panel,254,75,780,445,container,asset/custom paint,
diagnostics_panel,1037,75,444,446,container,asset/custom paint,
score_ring,492,81,414,392,custom HUD,asset/custom paint,
metric_tone,399,114,96,96,metric pod,asset/custom paint,
metric_punch,392,279,96,96,metric pod,asset/custom paint,
metric_level,882,114,96,96,metric pod,asset/custom paint,
metric_phase,886,279,96,96,metric pod,asset/custom paint,
metric_fit,642,376,102,102,metric pod,asset/custom paint,
btn_analyze,350,462,187,43,button,asset/custom paint,
btn_fix_source,574,462,199,43,button,asset/custom paint,
btn_ab,807,462,168,43,button,asset/custom paint,
lower_main_panel,253,528,760,441,container,asset/custom paint,
tabs,253,528,760,41,tab bar,asset/custom paint,
spectrum_panel,262,574,395,263,custom analyzer,asset/custom paint,
fit_panel,665,574,339,263,radar analyzer,asset/custom paint,
macros_panel,253,842,760,127,knob bank,asset/custom paint,
rescue_panel,1017,528,464,441,container,asset/custom paint,
rescue_header,1017,528,464,42,header,asset/custom paint,
rescue_list,1034,580,388,274,list view,asset/custom paint,
browse_library,1034,890,386,45,button,asset/custom paint,
footer,6,976,1479,72,status bar,asset/custom paint,
